Node Label    RF.M	agnitude	RF.RF1	RF.RF2	RF.RF3	U.Magnitude	U.U1	U.U2	U.U3
195	0	0	0	0	31,8785	-2,62324	18,7304	-25,6619
196	0	0	0	0	31,4124	-2,61901	17,933	-25,6571
197	0	0	0	0	30,9659	-2,60879	17,1415	-25,6564
198	0	0	0	0	30,533	-2,59173	16,3501	-25,6558
199	0	0	0	0	30,1225	-2,56688	15,5683	-25,6594
200	0	0	0	0	29,7304	-2,53829	14,7906	-25,665
201	0	0	0	0	29,3508	-2,49164	14,0118	-25,6696
202	0	0	0	0	28,9894	-2,47545	13,2704	-25,6545
203	0	0	0	0	28,6427	-2,44506	12,5214	-25,6445
204	0	0	0	0	28,3209	-2,40678	11,7814	-25,6414
205	0	0	0	0	28,0266	-2,36012	11,0558	-25,6455
206	0	0	0	0	27,7592	-2,31058	10,3407	-25,6574
207	0	0	0	0	27,505	-2,24185	9,62085	-25,6698
208	0	0	0	0	27,2564	-2,20346	8,96614	-25,645
209	0	0	0	0	27,0208	-2,15182	8,29753	-25,6251
210	0	0	0	0	26,8174	-2,09094	7,64898	-25,6183
211	0	0	0	0	26,6377	-2,0246	7,01455	-25,6177
212	0	0	0	0	26,4872	-1,94909	6,40377	-25,6274
213	0	0	0	0	26,3648	-1,87308	5,81124	-25,6481
214	0	0	0	0	26,2534	-1,77618	5,20894	-25,6701
215	0	0	0	0	26,1202	-1,71073	4,70544	-25,6359
216	0	0	0	0	25,9987	-1,63355	4,18331	-25,6079
217	0	0	0	0	25,9083	-1,5454	3,6889	-25,5978
218	0	0	0	0	25,8393	-1,45252	3,21617	-25,5972
219	0	0	0	0	25,7954	-1,34973	2,77464	-25,6102
220	0	0	0	0	25,7775	-1,24819	2,35902	-25,639
221	0	0	0	0	25,7673	-1,12423	1,9289	-25,6704
222	0	0	0	0	25,7027	-1,03086	1,62928	-25,6303
223	0	0	0	0	25,6506	-9,28E-01	1,31078	-25,6003
224	0	0	0	0	25,6238	-8,12E-01	1,01896	-25,5906
225	0	0	0	0	25,622	-6,88E-01	7,68E-01	-25,6013
226	0	0	0	0	25,6452	-5,66E-01	5,45E-01	-25,6332
227	0	0	0	0	25,7699	-4,00E-01	8,2388	-24,4142
228	0	0	0	0	25,8539	-3,40E-01	15,3949	-20,7679
229	0	0	0	0	25,9201	-2,47E-01	21,0741	-15,0888
230	0	0	0	0	25,9622	-1,30E-01	24,7203	-7,93264
231	0	0	0	0	26,1505	6,83E-16	26,1505	-5,63E-15
232	0	0	0	0	26,3685	3,56E-15	26,3685	-1,14E-14
233	0	0	0	0	26,6232	-4,18E-16	26,6232	8,60E-16
234	0	0	0	0	26,9142	2,77E-15	26,9142	-8,63E-15
235	0	0	0	0	27,2383	5,73E-16	27,2383	-2,08E-14
236	0	0	0	0	27,5993	-1,73E-17	27,5993	-5,75E-15
237	0	0	0	0	27,9755	-9,37E-17	27,9755	-1,69E-15
238	0	0	0	0	28,3883	-3,82E-16	28,3883	3,80E-15
239	0	0	0	0	28,8298	1,37E-15	28,8298	-1,21E-14
240	0	0	0	0	29,3022	2,88E-16	29,3022	-1,66E-14
241	0	0	0	0	29,8021	1,94E-16	29,8021	6,91E-15
242	0	0	0	0	30,3275	7,04E-16	30,3275	4,36E-15
243	0	0	0	0	30,879	-1,04E-16	30,879	-5,55E-17
244	0	0	0	0	31,442	8,05E-16	31,442	6,40E-15
245	0	0	0	0	32,0325	-1,62E-15	32,0325	9,31E-15
246	0	0	0	0	32,6441	1,86E-15	32,6441	-1,20E-14
247	0	0	0	0	33,2782	-1,72E-15	33,2782	-1,48E-14
248	0	0	0	0	33,9315	5,20E-16	33,9315	-9,98E-15
