Node Label    RF.Ma	gnitude	RF.RF1	RF.RF2	RF.RF3	U.Magnitude	U.U1	U.U2	U.U3
159	0	0	0	0	116,424	-1,31538	114,755	19,5947
160	0	0	0	0	127,16	-1,14627	125,994	17,1492
161	0	0	0	0	138,021	-9,77E-01	137,232	14,7036
162	0	0	0	0	148,977	-8,08E-01	148,47	12,2581
163	0	0	0	0	160,01	-6,39E-01	159,708	9,81258
164	0	0	0	0	171,105	-4,70E-01	170,946	7,36706
165	0	0	0	0	182,251	-3,01E-01	182,184	4,92153
166	0	0	0	0	193,438	-1,32E-01	193,422	2,476
167	0	0	0	0	203,902	3,75E-02	203,902	2,54E-02
168	0	0	0	0	203,144	3,75E-02	203,144	2,03E-02
169	0	0	0	0	202,386	3,75E-02	202,386	1,52E-02
170	0	0	0	0	201,628	3,75E-02	201,628	1,02E-02
171	0	0	0	0	200,87	3,75E-02	200,87	5,08E-03
172	0	0	0	0	20,8048	7,51E-01	-16,9136	-12,0914
173	0	0	0	0	25,693	1,48586	-11,3558	-22,9993
174	0	0	0	0	31,8381	2,07062	-2,69929	-31,6558
175	0	0	0	0	38,1868	2,44846	8,20856	-37,2136
176	0	0	0	0	44,506	2,58211	21,0585	-39,1236
177	0	0	0	0	44,8653	2,58196	21,8169	-39,1184
178	0	0	0	0	45,2345	2,58184	22,5753	-39,1133
179	0	0	0	0	45,6133	2,58178	23,3337	-39,1082
180	0	0	0	0	46,0016	2,58177	24,0921	-39,103
181	0	0	0	0	39,3872	2,44797	12,7592	-37,1829
182	0	0	0	0	31,7468	2,07021	1,85142	-31,6251
183	0	0	0	0	24,0015	1,48556	-6,80503	-22,9686
184	0	0	0	0	17,2878	7,51E-01	-12,3628	-12,0609
185	0	0	0	0	15,0365	-6,08E-02	-15,0363	2,54E-02
186	0	0	0	0	15,7949	-6,08E-02	-15,7948	2,03E-02
187	0	0	0	0	16,5533	-6,08E-02	-16,5532	1,52E-02
188	0	0	0	0	17,3118	-6,08E-02	-17,3117	1,02E-02
189	0	0	0	0	18,0703	-6,08E-02	-18,0702	5,08E-03
190	0	0	0	0	20,8095	-8,71E-01	-16,9136	12,0914
191	0	0	0	0	25,6999	-1,60073	-11,3558	22,9993
192	0	0	0	0	31,8452	-2,1777	-2,69929	31,6558
193	0	0	0	0	38,1931	-2,54575	8,20856	37,2136
194	0	0	0	0	43,8071	-2,66709	19,518	39,128
195	0	0	0	0	43,4592	-2,6791	18,7213	39,1285
196	0	0	0	0	43,1173	-2,67462	17,9191	39,1261
197	0	0	0	0	42,786	-2,66393	17,1229	39,1197
198	0	0	0	0	42,4665	-2,64622	16,3267	39,1131
199	0	0	0	0	42,159	-2,62042	15,5404	39,1026
200	0	0	0	0	41,8632	-2,59081	14,7581	39,0898
201	0	0	0	0	41,5798	-2,54254	13,9746	39,0785
202	0	0	0	0	41,3432	-2,52498	13,2308	39,0875
203	0	0	0	0	41,1104	-2,49319	12,4789	39,0913
204	0	0	0	0	40,8857	-2,45333	11,7359	39,0882
205	0	0	0	0	40,6699	-2,40493	11,0077	39,078
206	0	0	0	0	40,461	-2,3537	10,29	39,0598
207	0	0	0	0	40,2615	-2,28283	9,56699	39,0416
208	0	0	0	0	40,1281	-2,24198	8,9126	39,0616
209	0	0	0	0	39,9966	-2,18826	8,24342	39,0766
210	0	0	0	0	39,8666	-2,12503	7,59444	39,0788
211	0	0	0	0	39,743	-2,05655	6,95977	39,0747
212	0	0	0	0	39,6228	-1,97865	6,34892	39,0608
213	0	0	0	0	39,5035	-1,90053	5,75648	39,0356
214	0	0	0	0	39,3898	-1,80117	5,1533	39,0097
215	0	0	0	0	39,3556	-1,7325	4,6532	39,0411
216	0	0	0	0	39,3193	-1,65285	4,13333	39,0665
217	0	0	0	0	39,2747	-1,56194	3,64121	39,0744
218	0	0	0	0	39,2286	-1,4667	3,17091	39,0728
219	0	0	0	0	39,1772	-1,36135	2,73179	39,0581
220	0	0	0	0	39,1166	-1,25766	2,31863	39,0276
221	0	0	0	0	39,0574	-1,13135	1,88971	38,9952
222	0	0	0	0	39,0816	-1,0345	1,59576	39,0353
223	0	0	0	0	39,0977	-9,29E-01	1,28179	39,0656
224	0	0	0	0	39,0972	-8,11E-01	9,94E-01	39,0761
225	0	0	0	0	39,0797	-6,85E-01	7,47E-01	39,0666
226	0	0	0	0	39,0438	-5,61E-01	5,28E-01	39,0362
227	0	0	0	0	38,9207	-3,88E-01	-11,8053	37,0851
228	0	0	0	0	38,859	-3,26E-01	-22,7178	31,5249
229	0	0	0	0	38,8256	-2,32E-01	-31,3779	22,8648
230	0	0	0	0	38,8239	-1,15E-01	-36,9381	11,9523
231	0	0	0	0	38,684	8,23E-03	-38,6838	-1,41E-01
232	0	0	0	0	38,4696	3,78E-03	-38,4693	-1,41E-01
233	0	0	0	0	38,2185	-2,72E-04	-38,2182	-1,45E-01
234	0	0	0	0	37,931	-4,11E-03	-37,9307	-1,43E-01
235	0	0	0	0	37,6103	-7,80E-03	-37,61	-1,43E-01
236	0	0	0	0	37,2526	-1,10E-02	-37,2523	-1,47E-01
237	0	0	0	0	36,8789	-1,46E-02	-36,8786	-1,42E-01
238	0	0	0	0	36,4685	-1,84E-02	-36,4682	-1,39E-01
239	0	0	0	0	36,0292	-2,17E-02	-36,0289	-1,39E-01
240	0	0	0	0	35,5587	-2,49E-02	-35,5584	-1,36E-01
241	0	0	0	0	35,0605	-2,77E-02	-35,0602	-1,32E-01
242	0	0	0	0	34,5364	-3,05E-02	-34,5362	-1,30E-01
243	0	0	0	0	33,986	-3,28E-02	-33,9857	-1,29E-01
244	0	0	0	0	33,4233	-3,56E-02	-33,4231	-1,22E-01
245	0	0	0	0	32,8328	-3,84E-02	-32,8325	-1,17E-01
246	0	0	0	0	32,2209	-4,08E-02	-32,2207	-1,14E-01
247	0	0	0	0	31,5862	-4,31E-02	-31,586	-1,09E-01
248	0	0	0	0	30,932	-4,51E-02	-30,9318	-1,04E-01
249	0	0	0	0	30,2597	-4,69E-02	-30,2595	-9,86E-02
250	0	0	0	0	29,5699	-4,84E-02	-29,5697	-9,51E-02
251	0	0	0	0	28,8721	-5,02E-02	-28,8719	-8,74E-02
252	0	0	0	0	28,1558	-5,21E-02	-28,1557	-8,05E-02
253	0	0	0	0	27,4251	-5,36E-02	-27,4249	-7,58E-02
254	0	0	0	0	26,6812	-5,49E-02	-26,6811	-6,88E-02
255	0	0	0	0	25,9265	-5,59E-02	-25,9264	-6,23E-02
256	0	0	0	0	25,1609	-5,67E-02	-25,1608	-5,69E-02
257	0	0	0	0	24,3901	-5,79E-02	-24,39	-4,90E-02
258	0	0	0	0	23,6081	-5,90E-02	-23,608	-4,15E-02
259	0	0	0	0	22,8193	-5,98E-02	-22,8192	-3,55E-02
260	0	0	0	0	22,0233	-6,04E-02	-22,0231	-2,78E-02
261	0	0	0	0	21,2235	-6,07E-02	-21,2234	-2,12E-02
262	0	0	0	0	20,4204	-6,08E-02	-20,4203	-1,37E-02
263	0	0	0	0	19,6167	-6,07E-02	-19,6166	-6,63E-03
264	0	0	0	0	33,098	1,70719	20,3	-26,0858
265	0	0	0	0	24,1433	8,32E-01	20,3	-13,0429
266	0	0	0	0	21,0586	-4,32E-02	21,0585	5,08E-03
267	0	0	0	0	21,817	-4,32E-02	21,817	1,02E-02
268	0	0	0	0	22,5754	-4,32E-02	22,5754	1,52E-02
269	0	0	0	0	23,3338	-4,32E-02	23,3338	2,03E-02
270	0	0	0	0	24,0922	-4,32E-02	24,0922	2,54E-02
271	0	0	0	0	28,0635	8,32E-01	24,8505	-13,0123
272	0	0	0	0	36,0463	1,70685	24,8505	-26,0551
273	0	0	0	0	33,1025	-1,79362	20,3	26,0858
274	0	0	0	0	24,1465	-9,18E-01	20,3	13,0429
275	0	0	0	0	19,518	-4,32E-02	19,518	-6,63E-03
276	0	0	0	0	18,7152	-4,29E-02	18,7151	-1,26E-02
277	0	0	0	0	17,9124	-4,26E-02	17,9123	-1,98E-02
278	0	0	0	0	17,1135	-4,23E-02	17,1135	-2,78E-02
279	0	0	0	0	16,3139	-4,19E-02	16,3138	-3,64E-02
280	0	0	0	0	15,5249	-4,16E-02	15,5248	-4,43E-02
281	0	0	0	0	14,7431	-4,12E-02	14,7429	-5,14E-02
282	0	0	0	0	13,9748	-4,09E-02	13,9746	-5,69E-02
283	0	0	0	0	13,2078	-4,02E-02	13,2075	-6,24E-02
284	0	0	0	0	12,4541	-3,94E-02	12,4538	-6,91E-02
285	0	0	0	0	11,7082	-3,86E-02	11,7079	-7,66E-02
286	0	0	0	0	10,9782	-3,78E-02	10,9778	-8,41E-02
287	0	0	0	0	10,2618	-3,70E-02	10,2614	-9,04E-02
288	0	0	0	0	9,56753	-3,63E-02	9,56699	-9,51E-02
289	0	0	0	0	8,87649	-3,52E-02	8,87586	-9,93E-02
290	0	0	0	0	8,20511	-3,38E-02	8,20438	-1,05E-01
291	0	0	0	0	7,55365	-3,27E-02	7,55277	-1,10E-01
292	0	0	0	0	6,91573	-3,12E-02	6,91467	-1,17E-01
293	0	0	0	0	6,30256	-3,00E-02	6,30131	-1,22E-01
294	0	0	0	0	5,71243	-2,86E-02	5,71095	-1,27E-01
295	0	0	0	0	5,15499	-2,75E-02	5,1533	-1,29E-01
296	0	0	0	0	4,60227	-2,60E-02	4,60032	-1,31E-01
297	0	0	0	0	4,07959	-2,41E-02	4,0773	-1,34E-01
298	0	0	0	0	3,58528	-2,25E-02	3,58256	-1,38E-01
299	0	0	0	0	3,11217	-2,04E-02	3,10887	-1,42E-01
300	0	0	0	0	2,6713	-1,88E-02	2,66731	-1,45E-01
301	0	0	0	0	2,26193	-1,69E-02	2,2571	-1,47E-01
302	0	0	0	0	1,89546	-1,53E-02	1,88971	-1,47E-01
303	0	0	0	0	1,53353	-1,34E-02	1,5265	-1,46E-01
304	0	0	0	0	1,21694	-1,10E-02	1,20806	-1,46E-01
305	0	0	0	0	9,28E-01	-8,75E-03	9,17E-01	-1,47E-01
306	0	0	0	0	6,85E-01	-6,47E-03	6,69E-01	-1,48E-01
307	0	0	0	0	4,77E-01	-4,14E-03	4,53E-01	-1,47E-01
308	0	0	0	0	12,9082	-1,39E-01	2,91E-01	12,9042
309	0	0	0	0	25,9557	-2,76E-01	2,91E-01	25,9526
310	0	0	0	0	36,0945	-1,79328	24,8505	26,1161
311	0	0	0	0	28,0945	-9,18E-01	24,8505	13,0733
312	0	0	0	0	13,1965	1,35E-01	2,91E-01	-13,1926
313	0	0	0	0	26,244	2,72E-01	2,91E-01	-26,241
314	0	0	0	0	39,2811	2,77E-01	1,53E-01	-39,2798
315	0	0	0	0	39,3147	1,46E-01	1,08E-01	-39,3142
316	0	0	0	0	39,3281	4,29E-05	5,00E-02	-39,3281
317	0	0	0	0	39,2989	-1,52E-01	3,05E-02	-39,2986
318	0	0	0	0	26,17	-2,17E-01	1,01E-34	-26,1691
319	0	0	0	0	13,085	-1,09E-01	1,01E-34	-13,0846
320	0	0	0	0	5,93E-02	-5,49E-05	-5,52E-02	-2,15E-02
321	0	0	0	0	7,53E-02	-6,24E-05	-4,41E-02	-6,11E-02
322	0	0	0	0	1,03E-01	-1,44E-04	2,20E-02	-1,01E-01
323	0	0	0	0	1,95E-01	-1,72E-04	1,53E-01	-1,22E-01
324	0	0	0	0	38,4898	-3,11E-01	11,2741	-36,8003
325	0	0	0	0	41,088	-2,95E-01	22,5482	-34,347
326	0	0	0	0	46,489	-2,79E-01	33,8223	-31,8936
327	0	0	0	0	53,8561	-2,64E-01	45,0964	-29,4403
328	0	0	0	0	62,4979	-2,48E-01	56,3705	-26,9869
329	0	0	0	0	71,9565	-2,32E-01	67,6446	-24,5336
330	0	0	0	0	81,9496	-2,17E-01	78,9187	-22,0802
331	0	0	0	0	92,3038	-2,01E-01	90,1927	-19,6269
332	0	0	0	0	102,91	-1,85E-01	101,467	-17,1735
333	0	0	0	0	113,698	-1,69E-01	112,741	-14,7201
334	0	0	0	0	124,62	-1,54E-01	124,015	-12,2668
335	0	0	0	0	135,645	-1,38E-01	135,289	-9,81343
336	0	0	0	0	146,748	-1,22E-01	146,563	-7,36007
337	0	0	0	0	157,914	-1,07E-01	157,837	-4,90671
338	0	0	0	0	169,129	-9,11E-02	169,111	-2,45336
339	0	0	0	0	180,19	-9,62E-02	180,19	-3,04E-02
340	0	0	0	0	180,042	-9,77E-02	180,042	-6,10E-02
