Node Label    RF	.Magnitude	RF.RF1	RF.RF2	RF.RF3	U.Magnitude	U.U1	U.U2	U.U3
136	0	0	0	0	61,0001	-8,26E-01	-60,469	-7,98916
137	0	0	0	0	53,9934	-9,84E-01	-53,1264	-9,58699
138	0	0	0	0	47,144	-1,14198	-45,7837	-11,1848
139	0	0	0	0	40,5315	-1,29975	-38,4411	-12,7827
140	0	0	0	0	34,2934	-1,45752	-31,0985	-14,3805
141	0	0	0	0	28,675	-1,6153	-23,7558	-15,9783
142	0	0	0	0	24,1134	-1,77307	-16,4132	-17,5761
143	0	0	0	0	21,2989	-1,93085	-9,07055	-19,174
144	0	0	0	0	20,9479	-2,08862	-1,72791	-20,7718
145	0	0	0	0	23,1727	-2,2464	5,61473	-22,3696
146	0	0	0	0	27,3517	-2,40417	12,9574	-23,9675
147	0	0	0	0	33,2211	-2,56213	21,0532	-25,5703
148	0	0	0	0	33,7073	-2,56224	21,8064	-25,5754
149	0	0	0	0	34,2032	-2,56231	22,5596	-25,5804
150	0	0	0	0	34,7083	-2,56235	23,3128	-25,5854
151	0	0	0	0	35,2224	-2,56236	24,0661	-25,5905
152	0	0	0	0	29,7844	-2,40449	17,4767	-23,9978
153	0	0	0	0	24,6882	-2,24669	10,1341	-22,3999
154	0	0	0	0	21,0923	-2,0889	2,79155	-20,8021
155	0	0	0	0	19,8304	-1,9311	-4,55103	-19,2043
156	0	0	0	0	21,3211	-1,77331	-11,8936	-17,6065
157	0	0	0	0	25,0782	-1,61551	-19,2362	-16,0087
158	0	0	0	0	30,2693	-1,45772	-26,5788	-14,4108
159	0	0	0	0	36,2839	-1,29992	-33,9213	-12,813
160	0	0	0	0	42,7761	-1,14212	-41,2639	-11,2152
161	0	0	0	0	49,5586	-9,84E-01	-48,6065	-9,61738
162	0	0	0	0	56,5269	-8,27E-01	-55,9491	-8,01956
163	0	0	0	0	63,6201	-6,69E-01	-63,2916	-6,42175
164	0	0	0	0	70,8006	-5,11E-01	-70,6342	-4,82393
165	0	0	0	0	78,0443	-3,53E-01	-77,9768	-3,22611
